,Unnamed: 0,dept_id,cat_id,item_id,state_id,store_id,datetime,sales
0,0,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-01-31,3.0
1,1,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-02-07,9.0
2,2,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-02-14,9.0
3,3,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-02-21,8.0
4,4,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-02-28,14.0
5,5,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-03-07,16.0
6,6,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-03-14,12.0
7,7,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-03-21,4.0
8,8,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-03-28,7.0
9,9,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-04-04,5.0
10,10,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-04-11,6.0
11,11,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-04-18,7.0
12,12,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-04-25,3.0
13,13,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-05-02,12.0
14,14,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-05-09,10.0
15,15,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-05-16,11.0
16,16,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-05-23,6.0
17,17,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-05-30,13.0
18,18,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-06-06,3.0
19,19,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-06-13,8.0
20,20,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-06-20,12.0
21,21,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-06-27,6.0
22,22,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-07-04,4.0
23,23,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-07-11,4.0
24,24,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-07-18,9.0
25,25,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-07-25,6.0
26,26,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-08-01,4.0
27,27,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-08-08,2.0
28,28,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-08-15,0.0
29,29,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-08-22,0.0
30,30,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-08-29,0.0
31,31,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-09-05,0.0
32,32,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2011-09-12,0.0
